id,Category,len,color,fit_shape,length,pattern,print_or_pattern_type,sleeve_length,sleeve_styling,surface_styling,attr_9,attr_10
35407,Women Tshirts,8,yellow,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35408,Women Tshirts,8,,,crop,printed,quirky,default,,,,
35409,Women Tshirts,8,default,regular,crop,printed,funky print,long sleeves,regular sleeves,,,
35410,Women Tshirts,8,default,regular,regular,solid,default,short sleeves,regular sleeves,,,
35411,Women Tshirts,8,multicolor,loose,regular,printed,funky print,short sleeves,regular sleeves,,,
35412,Women Tshirts,8,yellow,,regular,printed,funky print,long sleeves,,,,
35413,Women Tshirts,8,default,regular,regular,solid,solid,,,,,
35414,Women Tshirts,8,default,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35415,Women Tshirts,8,default,regular,regular,default,default,short sleeves,regular sleeves,,,
35416,Women Tshirts,8,yellow,regular,crop,printed,typography,long sleeves,cuffed sleeves,,,
35417,Women Tshirts,8,default,regular,regular,printed,default,long sleeves,regular sleeves,,,
35418,Women Tshirts,8,multicolor,loose,regular,printed,funky print,short sleeves,regular sleeves,,,
35419,Women Tshirts,8,black,regular,regular,solid,solid,short sleeves,regular sleeves,,,
35420,Women Tshirts,8,black,regular,regular,solid,solid,short sleeves,regular sleeves,,,
35421,Women Tshirts,8,multicolor,,,default,default,short sleeves,regular sleeves,,,
35422,Women Tshirts,8,multicolor,loose,regular,printed,funky print,short sleeves,regular sleeves,,,
35423,Women Tshirts,8,white,regular,crop,printed,graphic,long sleeves,cuffed sleeves,,,
35424,Women Tshirts,8,black,regular,crop,solid,solid,short sleeves,regular sleeves,,,
35425,Women Tshirts,8,multicolor,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35426,Women Tshirts,8,pink,,crop,,funky print,long sleeves,,,,
35427,Women Tshirts,8,yellow,boxy,crop,printed,funky print,short sleeves,regular sleeves,,,
35428,Women Tshirts,8,yellow,boxy,crop,printed,graphic,short sleeves,regular sleeves,,,
35429,Women Tshirts,8,maroon,,crop,solid,solid,short sleeves,regular sleeves,,,
35430,Women Tshirts,8,black,,crop,solid,solid,short sleeves,regular sleeves,,,
35431,Women Tshirts,8,multicolor,regular,long,printed,default,short sleeves,regular sleeves,,,
35432,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35433,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35434,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35435,Women Tshirts,8,maroon,regular,regular,default,default,short sleeves,regular sleeves,,,
35436,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35437,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35438,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35439,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35440,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35441,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35442,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35443,Women Tshirts,8,multicolor,regular,regular,default,default,short sleeves,regular sleeves,,,
35444,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35445,Women Tshirts,8,multicolor,regular,long,printed,default,short sleeves,regular sleeves,,,
35446,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35447,Women Tshirts,8,default,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35448,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35449,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35450,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35451,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35452,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35453,Women Tshirts,8,multicolor,regular,regular,default,default,short sleeves,regular sleeves,,,
35454,Women Tshirts,8,white,loose,regular,solid,solid,short sleeves,regular sleeves,,,
35455,Women Tshirts,8,multicolor,regular,regular,default,default,short sleeves,regular sleeves,,,
35456,Women Tshirts,8,multicolor,regular,regular,default,default,short sleeves,regular sleeves,,,
35457,Women Tshirts,8,default,regular,crop,printed,typography,long sleeves,cuffed sleeves,,,
35458,Women Tshirts,8,default,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35459,Women Tshirts,8,black,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35460,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35461,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35462,Women Tshirts,8,multicolor,regular,regular,default,default,short sleeves,regular sleeves,,,
35463,Women Tshirts,8,default,regular,crop,printed,typography,long sleeves,cuffed sleeves,,,
35464,Women Tshirts,8,white,regular,crop,printed,funky print,long sleeves,cuffed sleeves,,,
35465,Women Tshirts,8,yellow,boxy,crop,printed,graphic,short sleeves,regular sleeves,,,
35466,Women Tshirts,8,yellow,regular,crop,default,default,short sleeves,regular sleeves,,,
35467,Women Tshirts,8,white,regular,crop,printed,funky print,long sleeves,cuffed sleeves,,,
35468,Women Tshirts,8,black,regular,regular,solid,solid,short sleeves,regular sleeves,,,
35469,Women Tshirts,8,maroon,regular,crop,default,default,short sleeves,regular sleeves,,,
35470,Women Tshirts,8,multicolor,regular,long,printed,default,short sleeves,regular sleeves,,,
35471,Women Tshirts,8,multicolor,regular,long,printed,default,short sleeves,regular sleeves,,,
35472,Women Tshirts,8,default,regular,crop,default,default,short sleeves,regular sleeves,,,
35473,Women Tshirts,8,maroon,,crop,solid,solid,short sleeves,regular sleeves,,,
35474,Women Tshirts,8,multicolor,regular,long,printed,default,short sleeves,regular sleeves,,,
35475,Women Tshirts,8,white,regular,crop,printed,funky print,long sleeves,cuffed sleeves,,,
35476,Women Tshirts,8,white,regular,crop,printed,funky print,long sleeves,cuffed sleeves,,,
35477,Women Tshirts,8,default,,crop,solid,solid,short sleeves,regular sleeves,,,
35478,Women Tshirts,8,default,regular,crop,printed,graphic,long sleeves,regular sleeves,,,
35479,Women Tshirts,8,pink,,crop,printed,graphic,,cuffed sleeves,,,
35480,Women Tshirts,8,pink,,crop,solid,solid,short sleeves,regular sleeves,,,
35481,Women Tshirts,8,yellow,boxy,crop,printed,typography,long sleeves,regular sleeves,,,
35482,Women Tshirts,8,black,regular,crop,default,default,short sleeves,regular sleeves,,,
35483,Women Tshirts,8,default,loose,long,printed,typography,short sleeves,regular sleeves,,,
35484,Women Tshirts,8,pink,regular,crop,printed,typography,long sleeves,cuffed sleeves,,,
35485,Women Tshirts,8,pink,regular,crop,printed,typography,long sleeves,cuffed sleeves,,,
35486,Women Tshirts,8,yellow,regular,crop,printed,typography,long sleeves,cuffed sleeves,,,
35487,Women Tshirts,8,multicolor,regular,crop,default,default,short sleeves,regular sleeves,,,
35488,Women Tshirts,8,multicolor,regular,crop,default,default,short sleeves,regular sleeves,,,
35489,Women Tshirts,8,multicolor,regular,long,printed,default,short sleeves,regular sleeves,,,
35490,Women Tshirts,8,yellow,,crop,printed,graphic,short sleeves,,,,
35491,Women Tshirts,8,multicolor,regular,crop,default,default,short sleeves,regular sleeves,,,
35492,Women Tshirts,8,multicolor,regular,long,printed,default,short sleeves,regular sleeves,,,
35493,Women Tshirts,8,multicolor,regular,long,printed,default,short sleeves,regular sleeves,,,
35494,Women Tshirts,8,yellow,regular,crop,printed,typography,long sleeves,cuffed sleeves,,,
35495,Women Tshirts,8,yellow,regular,crop,printed,default,long sleeves,regular sleeves,,,
35496,Women Tshirts,8,default,regular,regular,printed,graphic,short sleeves,cuffed sleeves,,,
35497,Women Tshirts,8,yellow,regular,regular,printed,graphic,short sleeves,,,,
35498,Women Tshirts,8,default,regular,regular,solid,solid,short sleeves,regular sleeves,,,
35499,Women Tshirts,8,maroon,boxy,crop,printed,graphic,short sleeves,regular sleeves,,,
35500,Women Tshirts,8,white,loose,long,printed,graphic,short sleeves,regular sleeves,,,
35501,Women Tshirts,8,white,regular,crop,printed,graphic,default,,,,
35502,Women Tshirts,8,white,,long,printed,funky print,default,regular sleeves,,,
35503,Women Tshirts,8,default,regular,crop,printed,quirky,long sleeves,regular sleeves,,,
35504,Women Tshirts,8,yellow,loose,long,printed,typography,short sleeves,regular sleeves,,,
35505,Women Tshirts,8,default,,crop,printed,quirky,short sleeves,regular sleeves,,,
35506,Women Tshirts,8,default,boxy,crop,printed,graphic,short sleeves,regular sleeves,,,
35507,Women Tshirts,8,pink,loose,long,printed,typography,short sleeves,regular sleeves,,,
35508,Women Tshirts,8,default,loose,long,printed,typography,short sleeves,regular sleeves,,,
35509,Women Tshirts,8,,loose,long,,default,short sleeves,,,,
35510,Women Tshirts,8,yellow,boxy,crop,printed,typography,long sleeves,regular sleeves,,,
35511,Women Tshirts,8,white,loose,long,printed,graphic,short sleeves,regular sleeves,,,
35512,Women Tshirts,8,black,regular,crop,printed,quirky,long sleeves,regular sleeves,,,
35513,Women Tshirts,8,white,loose,long,printed,graphic,short sleeves,regular sleeves,,,
35514,Women Tshirts,8,white,loose,regular,printed,funky print,short sleeves,,,,
35515,Women Tshirts,8,white,loose,long,printed,graphic,short sleeves,regular sleeves,,,
35516,Women Tshirts,8,white,loose,long,printed,graphic,short sleeves,regular sleeves,,,
35517,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35518,Women Tshirts,8,yellow,regular,regular,default,default,short sleeves,regular sleeves,,,
35519,Women Tshirts,8,yellow,regular,regular,printed,solid,long sleeves,regular sleeves,,,
35520,Women Tshirts,8,yellow,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35521,Women Tshirts,8,maroon,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35522,Women Tshirts,8,white,loose,regular,printed,graphic,default,regular sleeves,,,
35523,Women Tshirts,8,default,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35524,Women Tshirts,8,maroon,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35525,Women Tshirts,8,white,,regular,printed,graphic,default,regular sleeves,,,
35526,Women Tshirts,8,default,boxy,crop,printed,funky print,short sleeves,regular sleeves,,,
35527,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35528,Women Tshirts,8,default,regular,regular,printed,graphic,short sleeves,,,,
35529,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35530,Women Tshirts,8,white,loose,long,printed,default,short sleeves,regular sleeves,,,
35531,Women Tshirts,8,black,regular,long,printed,graphic,short sleeves,regular sleeves,,,
35532,Women Tshirts,8,black,regular,long,printed,graphic,short sleeves,regular sleeves,,,
35533,Women Tshirts,8,white,boxy,crop,printed,typography,long sleeves,cuffed sleeves,,,
35534,Women Tshirts,8,white,loose,long,printed,funky print,short sleeves,regular sleeves,,,
35535,Women Tshirts,8,,,long,,funky print,default,regular sleeves,,,
35536,Women Tshirts,8,default,regular,regular,printed,default,long sleeves,regular sleeves,,,
35537,Women Tshirts,8,yellow,regular,regular,default,default,short sleeves,regular sleeves,,,
35538,Women Tshirts,8,yellow,regular,regular,printed,typography,default,,,,
35539,Women Tshirts,8,default,regular,regular,solid,solid,short sleeves,regular sleeves,,,
35540,Women Tshirts,8,black,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35541,Women Tshirts,8,pink,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35542,Women Tshirts,8,yellow,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35543,Women Tshirts,8,default,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35544,Women Tshirts,8,default,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35545,Women Tshirts,8,white,regular,long,solid,solid,short sleeves,regular sleeves,,,
35546,Women Tshirts,8,,regular,long,default,default,,,,,
35547,Women Tshirts,8,black,loose,regular,printed,quirky,short sleeves,regular sleeves,,,
35548,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35549,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35550,Women Tshirts,8,default,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35551,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35552,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35553,Women Tshirts,8,default,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35554,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35555,Women Tshirts,8,white,boxy,crop,printed,typography,long sleeves,cuffed sleeves,,,
35556,Women Tshirts,8,black,regular,long,printed,quirky,short sleeves,regular sleeves,,,
35557,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35558,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35559,Women Tshirts,8,black,regular,long,printed,quirky,short sleeves,regular sleeves,,,
35560,Women Tshirts,8,multicolor,regular,regular,default,default,short sleeves,regular sleeves,,,
35561,Women Tshirts,8,default,boxy,crop,printed,funky print,short sleeves,regular sleeves,,,
35562,Women Tshirts,8,yellow,boxy,crop,printed,funky print,short sleeves,regular sleeves,,,
35563,Women Tshirts,8,white,regular,crop,printed,funky print,default,,,,
35564,Women Tshirts,8,white,loose,long,printed,funky print,short sleeves,regular sleeves,,,
35565,Women Tshirts,8,black,regular,crop,printed,typography,long sleeves,cuffed sleeves,,,
35566,Women Tshirts,8,black,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35567,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35568,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35569,Women Tshirts,8,default,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35570,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35571,Women Tshirts,8,maroon,regular,long,printed,graphic,short sleeves,regular sleeves,,,
35572,Women Tshirts,8,multicolor,,long,,default,,regular sleeves,,,
35573,Women Tshirts,8,,regular,long,default,default,short sleeves,,,,
35574,Women Tshirts,8,yellow,regular,regular,solid,solid,short sleeves,regular sleeves,,,
35575,Women Tshirts,8,black,regular,regular,printed,graphic,short sleeves,,,,
35576,Women Tshirts,8,black,regular,regular,solid,solid,short sleeves,regular sleeves,,,
35577,Women Tshirts,8,black,regular,regular,solid,solid,short sleeves,regular sleeves,,,
35578,Women Tshirts,8,yellow,regular,regular,printed,funky print,long sleeves,regular sleeves,,,
35579,Women Tshirts,8,pink,loose,regular,printed,funky print,short sleeves,regular sleeves,,,
35580,Women Tshirts,8,default,regular,regular,printed,graphic,long sleeves,regular sleeves,,,
35581,Women Tshirts,8,yellow,boxy,crop,printed,default,short sleeves,regular sleeves,,,
35582,Women Tshirts,8,white,,crop,solid,solid,short sleeves,regular sleeves,,,
35583,Women Tshirts,8,yellow,loose,long,printed,typography,short sleeves,regular sleeves,,,
35584,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35585,Women Tshirts,8,default,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35586,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35587,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35588,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35589,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35590,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35591,Women Tshirts,8,pink,,crop,solid,solid,,regular sleeves,,,
35592,Women Tshirts,8,white,loose,long,printed,graphic,short sleeves,regular sleeves,,,
35593,Women Tshirts,8,white,loose,long,printed,quirky,short sleeves,regular sleeves,,,
35594,Women Tshirts,8,white,loose,long,printed,graphic,short sleeves,regular sleeves,,,
35595,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35596,Women Tshirts,8,black,,long,printed,graphic,short sleeves,regular sleeves,,,
35597,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35598,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35599,Women Tshirts,8,black,regular,regular,printed,graphic,default,regular sleeves,,,
35600,Women Tshirts,8,,regular,long,solid,solid,,regular sleeves,,,
35601,Women Tshirts,8,default,,,solid,solid,,regular sleeves,,,
35602,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35603,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35604,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35605,Women Tshirts,8,black,regular,long,printed,graphic,short sleeves,regular sleeves,,,
35606,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35607,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35608,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35609,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35610,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35611,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35612,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35613,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35614,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35615,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35616,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35617,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35618,Women Tshirts,8,black,loose,long,printed,typography,short sleeves,regular sleeves,,,
35619,Women Tshirts,8,default,regular,regular,solid,solid,short sleeves,regular sleeves,,,
35620,Women Tshirts,8,default,regular,regular,solid,solid,short sleeves,regular sleeves,,,
35621,Women Tshirts,8,maroon,loose,regular,printed,typography,default,regular sleeves,,,
35622,Women Tshirts,8,white,regular,crop,printed,graphic,long sleeves,cuffed sleeves,,,
35623,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35624,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35625,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35626,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35627,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35628,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35629,Women Tshirts,8,default,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35630,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35631,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35632,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35633,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35634,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35635,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35636,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35637,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35638,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35639,Women Tshirts,8,black,boxy,crop,printed,typography,long sleeves,regular sleeves,,,
35640,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35641,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35642,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35643,Women Tshirts,8,default,,crop,printed,graphic,short sleeves,,,,
35644,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35645,Women Tshirts,8,default,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35646,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35647,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35648,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35649,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35650,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35651,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35652,Women Tshirts,8,maroon,regular,regular,solid,solid,short sleeves,regular sleeves,,,
35653,Women Tshirts,8,yellow,regular,crop,printed,typography,long sleeves,cuffed sleeves,,,
35654,Women Tshirts,8,black,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35655,Women Tshirts,8,yellow,regular,crop,printed,typography,default,,,,
35656,Women Tshirts,8,pink,regular,regular,printed,typography,default,,,,
35657,Women Tshirts,8,default,regular,crop,printed,typography,default,,,,
35658,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35659,Women Tshirts,8,white,loose,long,printed,graphic,short sleeves,regular sleeves,,,
35660,Women Tshirts,8,black,loose,long,printed,typography,short sleeves,regular sleeves,,,
35661,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35662,Women Tshirts,8,pink,regular,crop,,typography,long sleeves,cuffed sleeves,,,
35663,Women Tshirts,8,default,loose,long,printed,typography,short sleeves,regular sleeves,,,
35664,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35665,Women Tshirts,8,white,regular,crop,printed,funky print,default,,,,
35666,Women Tshirts,8,pink,,crop,printed,funky print,short sleeves,,,,
35667,Women Tshirts,8,black,,regular,printed,quirky,short sleeves,,,,
35668,Women Tshirts,8,default,loose,regular,printed,funky print,short sleeves,regular sleeves,,,
35669,Women Tshirts,8,maroon,loose,long,printed,typography,short sleeves,regular sleeves,,,
35670,Women Tshirts,8,,regular,long,,funky print,default,regular sleeves,,,
35671,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35672,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35673,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35674,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
35675,Women Tshirts,8,default,boxy,crop,printed,funky print,short sleeves,regular sleeves,,,
35676,Women Tshirts,8,black,regular,long,printed,graphic,short sleeves,regular sleeves,,,
35677,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35678,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35679,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35680,Women Tshirts,8,multicolor,regular,regular,default,default,short sleeves,regular sleeves,,,
35681,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35682,Women Tshirts,8,,,long,printed,funky print,default,,,,
35683,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35684,Women Tshirts,8,white,regular,long,printed,funky print,default,regular sleeves,,,
35685,Women Tshirts,8,pink,boxy,crop,printed,funky print,short sleeves,regular sleeves,,,
35686,Women Tshirts,8,default,loose,long,printed,typography,short sleeves,regular sleeves,,,
35687,Women Tshirts,8,maroon,loose,long,printed,typography,short sleeves,regular sleeves,,,
35688,Women Tshirts,8,default,regular,crop,printed,funky print,default,regular sleeves,,,
35689,Women Tshirts,8,black,,regular,printed,typography,short sleeves,,,,
35690,Women Tshirts,8,pink,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35691,Women Tshirts,8,default,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35692,Women Tshirts,8,yellow,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35693,Women Tshirts,8,default,boxy,crop,printed,quirky,short sleeves,regular sleeves,,,
35694,Women Tshirts,8,multicolor,regular,,default,default,short sleeves,,,,
35695,Women Tshirts,8,white,regular,crop,printed,funky print,long sleeves,,,,
35696,Women Tshirts,8,black,,crop,solid,solid,short sleeves,regular sleeves,,,
35697,Women Tshirts,8,yellow,regular,crop,solid,solid,short sleeves,regular sleeves,,,
35698,Women Tshirts,8,default,loose,long,printed,typography,short sleeves,regular sleeves,,,
35699,Women Tshirts,8,black,loose,regular,printed,funky print,short sleeves,regular sleeves,,,
35700,Women Tshirts,8,maroon,loose,regular,printed,funky print,short sleeves,regular sleeves,,,
35701,Women Tshirts,8,white,boxy,crop,printed,default,long sleeves,regular sleeves,,,
35702,Women Tshirts,8,pink,boxy,crop,printed,funky print,short sleeves,regular sleeves,,,
35703,Women Tshirts,8,black,regular,crop,solid,solid,short sleeves,regular sleeves,,,
35704,Women Tshirts,8,default,,regular,printed,funky print,default,regular sleeves,,,
35705,Women Tshirts,8,black,boxy,crop,printed,funky print,short sleeves,regular sleeves,,,
35706,Women Tshirts,8,yellow,regular,regular,default,default,short sleeves,regular sleeves,,,
35707,Women Tshirts,8,default,regular,regular,solid,solid,short sleeves,regular sleeves,,,
35708,Women Tshirts,8,black,,regular,printed,typography,short sleeves,,,,
35709,Women Tshirts,8,black,regular,long,printed,funky print,short sleeves,regular sleeves,,,
35710,Women Tshirts,8,default,,crop,printed,typography,long sleeves,cuffed sleeves,,,
35711,Women Tshirts,8,yellow,regular,crop,printed,typography,long sleeves,cuffed sleeves,,,
35712,Women Tshirts,8,default,boxy,,printed,graphic,,,,,
35713,Women Tshirts,8,yellow,boxy,crop,printed,graphic,short sleeves,regular sleeves,,,
35714,Women Tshirts,8,white,regular,crop,printed,quirky,default,,,,
35715,Women Tshirts,8,default,regular,regular,default,default,short sleeves,regular sleeves,,,
35716,Women Tshirts,8,default,regular,regular,default,default,short sleeves,regular sleeves,,,
35717,Women Tshirts,8,maroon,regular,long,printed,graphic,short sleeves,regular sleeves,,,
35718,Women Tshirts,8,multicolor,regular,crop,default,default,short sleeves,regular sleeves,,,
35719,Women Tshirts,8,yellow,regular,regular,printed,quirky,long sleeves,regular sleeves,,,
35720,Women Tshirts,8,maroon,regular,crop,solid,solid,short sleeves,regular sleeves,,,
35721,Women Tshirts,8,white,loose,regular,printed,quirky,default,regular sleeves,,,
35722,Women Tshirts,8,maroon,regular,regular,solid,solid,short sleeves,regular sleeves,,,
35723,Women Tshirts,8,black,regular,regular,solid,solid,short sleeves,regular sleeves,,,
35724,Women Tshirts,8,yellow,regular,regular,solid,solid,short sleeves,regular sleeves,,,
35725,Women Tshirts,8,yellow,regular,crop,printed,typography,long sleeves,cuffed sleeves,,,
35726,Women Tshirts,8,white,,crop,solid,solid,short sleeves,regular sleeves,,,
35727,Women Tshirts,8,black,,regular,printed,typography,short sleeves,,,,
35728,Women Tshirts,8,black,loose,long,printed,typography,short sleeves,regular sleeves,,,
35729,Women Tshirts,8,black,loose,regular,printed,default,short sleeves,regular sleeves,,,
35730,Women Tshirts,8,default,regular,crop,printed,typography,long sleeves,cuffed sleeves,,,
35731,Women Tshirts,8,pink,regular,crop,printed,typography,long sleeves,cuffed sleeves,,,
35732,Women Tshirts,8,pink,boxy,crop,printed,funky print,short sleeves,regular sleeves,,,
35733,Women Tshirts,8,multicolor,regular,regular,default,default,short sleeves,regular sleeves,,,
35734,Women Tshirts,8,black,regular,crop,printed,funky print,long sleeves,regular sleeves,,,
