id,Category,len,color,neck,pattern,print_or_pattern_type,sleeve_length,attr_6,attr_7,attr_8,attr_9,attr_10
979,Men Tshirts,5,black,round,printed,typography,short sleeves,,,,,
980,Men Tshirts,5,black,polo,solid,solid,,,,,,
981,Men Tshirts,5,default,polo,,default,,,,,,
982,Men Tshirts,5,default,polo,solid,solid,long sleeves,,,,,
983,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
984,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
985,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
986,Men Tshirts,5,black,,solid,solid,short sleeves,,,,,
987,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
988,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
989,Men Tshirts,5,,round,solid,solid,long sleeves,,,,,
990,Men Tshirts,5,black,,solid,solid,short sleeves,,,,,
991,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
992,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
993,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
994,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
995,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
996,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
997,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
998,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
999,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1000,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
1001,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
1002,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
1003,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1004,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
1005,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1006,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1007,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1008,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1009,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1010,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1011,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1012,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1013,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1014,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1015,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1016,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1017,Men Tshirts,5,black,round,solid,,long sleeves,,,,,
1018,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1019,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1020,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1021,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1022,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1023,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1024,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1025,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1026,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1027,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1028,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1029,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1030,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1031,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1032,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1033,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1034,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
1035,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1036,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1037,Men Tshirts,5,default,,,default,long sleeves,,,,,
1038,Men Tshirts,5,default,,,default,long sleeves,,,,,
1039,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1040,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1041,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1042,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1043,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
1044,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1045,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1046,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1047,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1048,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1049,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1050,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1051,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1052,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1053,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1054,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1055,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1056,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1057,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1058,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1059,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1060,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1061,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1062,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1063,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1064,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1065,Men Tshirts,5,black,round,,default,short sleeves,,,,,
1066,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
1067,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1068,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1069,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1070,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1071,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1072,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1073,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1074,Men Tshirts,5,multicolor,round,,default,long sleeves,,,,,
1075,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
1076,Men Tshirts,5,black,round,printed,typography,short sleeves,,,,,
1077,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1078,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1079,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1080,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1081,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1082,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1083,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1084,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1085,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
1086,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1087,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
1088,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1089,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1090,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1091,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1092,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1093,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1094,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1095,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1096,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1097,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1098,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1099,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1100,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1101,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1102,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1103,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1104,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1105,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1106,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1107,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1108,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1109,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
1110,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1111,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1112,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1113,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1114,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1115,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1116,Men Tshirts,5,multicolor,round,printed,solid,short sleeves,,,,,
1117,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1118,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
1119,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1120,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1121,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1122,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1123,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1124,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1125,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1126,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1127,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1128,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1129,Men Tshirts,5,white,round,,default,short sleeves,,,,,
1130,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1131,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1132,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1133,Men Tshirts,5,black,round,,default,short sleeves,,,,,
1134,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1135,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1136,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1137,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
1138,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1139,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1140,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1141,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
1142,Men Tshirts,5,black,round,printed,typography,short sleeves,,,,,
1143,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
1144,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
1145,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1146,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1147,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1148,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1149,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1150,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
1151,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
1152,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
1153,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
1154,Men Tshirts,5,white,round,,typography,short sleeves,,,,,
1155,Men Tshirts,5,default,round,printed,typography,long sleeves,,,,,
1156,Men Tshirts,5,black,round,printed,typography,long sleeves,,,,,
1157,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1158,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1159,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1160,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1161,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1162,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1163,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1164,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1165,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1166,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1167,Men Tshirts,5,black,round,printed,typography,short sleeves,,,,,
1168,Men Tshirts,5,multicolor,round,printed,typography,short sleeves,,,,,
1169,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1170,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1171,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1172,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1173,Men Tshirts,5,multicolor,round,printed,solid,short sleeves,,,,,
1174,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1175,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1176,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1177,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1178,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1179,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1180,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1181,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1182,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1183,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
1184,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1185,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
1186,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1187,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
1188,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1189,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1190,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1191,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1192,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1193,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1194,Men Tshirts,5,default,,printed,default,long sleeves,,,,,
1195,Men Tshirts,5,black,,,default,long sleeves,,,,,
1196,Men Tshirts,5,default,,solid,solid,long sleeves,,,,,
1197,Men Tshirts,5,default,,,default,long sleeves,,,,,
1198,Men Tshirts,5,default,,,default,long sleeves,,,,,
1199,Men Tshirts,5,black,,solid,solid,long sleeves,,,,,
1200,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1201,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1202,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1203,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1204,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1205,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1206,Men Tshirts,5,multicolor,round,printed,typography,short sleeves,,,,,
1207,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1208,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
1209,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1210,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1211,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1212,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1213,Men Tshirts,5,default,round,,solid,short sleeves,,,,,
1214,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1215,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1216,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1217,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1218,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1219,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1220,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1221,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
1222,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1223,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1224,Men Tshirts,5,black,round,solid,solid,short sleeves,,,,,
1225,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1226,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1227,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
1228,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1229,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1230,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1231,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1232,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1233,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1234,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1235,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1236,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1237,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
1238,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1239,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1240,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1241,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1242,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1243,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
1244,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1245,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1246,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1247,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1248,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1249,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
1250,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
1251,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
1252,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
1253,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
1254,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1255,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1256,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
1257,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1258,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1259,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
1260,Men Tshirts,5,black,round,solid,solid,short sleeves,,,,,
1261,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1262,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1263,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1264,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1265,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1266,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1267,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1268,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1269,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1270,Men Tshirts,5,black,round,solid,,long sleeves,,,,,
1271,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1272,Men Tshirts,5,multicolor,round,solid,solid,short sleeves,,,,,
1273,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1274,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1275,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1276,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1277,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1278,Men Tshirts,5,white,polo,printed,default,short sleeves,,,,,
1279,Men Tshirts,5,black,round,solid,solid,short sleeves,,,,,
1280,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
1281,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1282,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1283,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
1284,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1285,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1286,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1287,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1288,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
1289,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1290,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1291,Men Tshirts,5,black,round,,default,short sleeves,,,,,
1292,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1293,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1294,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1295,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1296,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1297,Men Tshirts,5,default,round,solid,solid,long sleeves,,,,,
1298,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1299,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1300,Men Tshirts,5,multicolor,round,printed,solid,short sleeves,,,,,
1301,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
1302,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
1303,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
1304,Men Tshirts,5,default,round,solid,solid,long sleeves,,,,,
1305,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1306,Men Tshirts,5,multicolor,round,printed,solid,short sleeves,,,,,
1307,Men Tshirts,5,default,round,solid,solid,long sleeves,,,,,
1308,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1309,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1310,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
1311,Men Tshirts,5,black,polo,printed,default,short sleeves,,,,,
1312,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1313,Men Tshirts,5,multicolor,,printed,typography,long sleeves,,,,,
1314,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
1315,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1316,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1317,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1318,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1319,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1320,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1321,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1322,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1323,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1324,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1325,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1326,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1327,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1328,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1329,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1330,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1331,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1332,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1333,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1334,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1335,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1336,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1337,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1338,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1339,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1340,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1341,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1342,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1343,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1344,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
1345,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1346,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
1347,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
1348,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
1349,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
1350,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1351,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1352,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1353,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1354,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
1355,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1356,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1357,Men Tshirts,5,white,round,,default,short sleeves,,,,,
1358,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1359,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1360,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
1361,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1362,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1363,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1364,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1365,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1366,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1367,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1368,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1369,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1370,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1371,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1372,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1373,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1374,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
