id,Category,len,color,fit_shape,length,neck_collar,occasion,pattern,print_or_pattern_type,sleeve_length,sleeve_styling,surface_styling
53299,Women Tops & Tunics,10,,,,square neck,,solid,solid,short sleeves,regular sleeves,
53300,Women Tops & Tunics,10,,,,stylised,casual,,,,puff sleeves,
53301,Women Tops & Tunics,10,white,fitted,crop,round neck,casual,solid,solid,short sleeves,regular sleeves,knitted
53302,Women Tops & Tunics,10,,regular,,,casual,solid,,long sleeves,,knitted
53303,Women Tops & Tunics,10,white,fitted,crop,round neck,casual,printed,typography,sleeveless,sleeveless,
53304,Women Tops & Tunics,10,,fitted,,high,casual,,,,regular sleeves,
53305,Women Tops & Tunics,10,maroon,fitted,regular,square neck,casual,solid,solid,short sleeves,,ruffles
53306,Women Tops & Tunics,10,maroon,fitted,crop,v-neck,casual,solid,solid,long sleeves,regular sleeves,knitted
53307,Women Tops & Tunics,10,,regular,regular,v-neck,casual,solid,solid,short sleeves,,knitted
53308,Women Tops & Tunics,10,multicolor,,,round neck,,solid,,long sleeves,,
53309,Women Tops & Tunics,10,yellow,fitted,crop,high,casual,solid,solid,short sleeves,regular sleeves,
53310,Women Tops & Tunics,10,white,,,,,solid,,,,
53311,Women Tops & Tunics,10,black,,,round neck,casual,,,long sleeves,,knitted
53312,Women Tops & Tunics,10,default,regular,regular,default,casual,printed,default,three-quarter sleeves,regular sleeves,
53313,Women Tops & Tunics,10,yellow,fitted,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,
53314,Women Tops & Tunics,10,red,,crop,,casual,solid,,three-quarter sleeves,,knitted
53315,Women Tops & Tunics,10,white,regular,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,
53316,Women Tops & Tunics,10,navy blue,default,crop,v-neck,party,solid,solid,short sleeves,regular sleeves,knitted
53317,Women Tops & Tunics,10,red,fitted,regular,default,casual,solid,solid,short sleeves,default,applique
53318,Women Tops & Tunics,10,pink,default,,default,casual,default,floral,three-quarter sleeves,,
53319,Women Tops & Tunics,10,,fitted,,,,,solid,three-quarter sleeves,,
53320,Women Tops & Tunics,10,black,regular,,,,solid,solid,short sleeves,,
53321,Women Tops & Tunics,10,black,boxy,crop,round neck,casual,printed,graphic,short sleeves,regular sleeves,
53322,Women Tops & Tunics,10,white,regular,,round neck,,,default,short sleeves,,
53323,Women Tops & Tunics,10,default,fitted,regular,round neck,casual,solid,solid,short sleeves,puff sleeves,knitted
53324,Women Tops & Tunics,10,,,,high,casual,,solid,,regular sleeves,knitted
53325,Women Tops & Tunics,10,maroon,fitted,regular,high,casual,solid,solid,three-quarter sleeves,,ruffles
53326,Women Tops & Tunics,10,blue,regular,regular,round neck,casual,solid,solid,short sleeves,regular sleeves,knitted
53327,Women Tops & Tunics,10,blue,,regular,default,casual,,default,,regular sleeves,
53328,Women Tops & Tunics,10,black,fitted,regular,v-neck,casual,solid,solid,short sleeves,puff sleeves,knitted
53329,Women Tops & Tunics,10,default,fitted,,round neck,casual,solid,solid,short sleeves,regular sleeves,
53330,Women Tops & Tunics,10,,fitted,,sweetheart neck,,,,,,knitted
53331,Women Tops & Tunics,10,red,,,,,,,long sleeves,regular sleeves,
53332,Women Tops & Tunics,10,default,regular,regular,round neck,casual,solid,solid,long sleeves,regular sleeves,knitted
53333,Women Tops & Tunics,10,,,,,,,,,puff sleeves,
53334,Women Tops & Tunics,10,,,,v-neck,,,,,regular sleeves,knitted
53335,Women Tops & Tunics,10,default,regular,regular,round neck,casual,solid,solid,three-quarter sleeves,default,
53336,Women Tops & Tunics,10,,,,square neck,casual,,,long sleeves,,
53337,Women Tops & Tunics,10,peach,regular,regular,round neck,casual,default,solid,sleeveless,sleeveless,
53338,Women Tops & Tunics,10,white,,regular,,,printed,,short sleeves,regular sleeves,
53339,Women Tops & Tunics,10,default,regular,regular,round neck,casual,solid,solid,short sleeves,,
53340,Women Tops & Tunics,10,red,,,,,,,three-quarter sleeves,regular sleeves,
53341,Women Tops & Tunics,10,default,regular,crop,,,,solid,,,
53342,Women Tops & Tunics,10,yellow,regular,regular,round neck,casual,solid,solid,short sleeves,regular sleeves,ruffles
53343,Women Tops & Tunics,10,maroon,fitted,regular,sweetheart neck,casual,solid,solid,short sleeves,puff sleeves,ruffles
53344,Women Tops & Tunics,10,,,,,casual,,,three-quarter sleeves,,
53345,Women Tops & Tunics,10,white,,,,casual,,,,,knitted
53346,Women Tops & Tunics,10,black,regular,regular,,casual,,,short sleeves,,
53347,Women Tops & Tunics,10,black,default,,round neck,,,solid,long sleeves,regular sleeves,knitted
53348,Women Tops & Tunics,10,,,,,,,,long sleeves,,
53349,Women Tops & Tunics,10,default,default,regular,round neck,casual,printed,default,long sleeves,regular sleeves,
53350,Women Tops & Tunics,10,blue,fitted,crop,round neck,casual,solid,solid,long sleeves,regular sleeves,
53351,Women Tops & Tunics,10,maroon,regular,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,
53352,Women Tops & Tunics,10,yellow,regular,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,
53353,Women Tops & Tunics,10,yellow,regular,regular,round neck,casual,default,default,short sleeves,regular sleeves,
53354,Women Tops & Tunics,10,navy blue,,,round neck,casual,,,three-quarter sleeves,,
53355,Women Tops & Tunics,10,,fitted,regular,round neck,,,solid,,default,
53356,Women Tops & Tunics,10,default,fitted,regular,round neck,casual,solid,solid,three-quarter sleeves,,knitted
53357,Women Tops & Tunics,10,multicolor,regular,crop,round neck,casual,printed,default,three-quarter sleeves,regular sleeves,tie-ups
53358,Women Tops & Tunics,10,,,,high,,solid,,three-quarter sleeves,regular sleeves,
53359,Women Tops & Tunics,10,white,default,,default,,,,,,
53360,Women Tops & Tunics,10,pink,fitted,regular,stylised,,,solid,short sleeves,,
53361,Women Tops & Tunics,10,black,,regular,round neck,,,,,regular sleeves,
53362,Women Tops & Tunics,10,yellow,boxy,crop,round neck,casual,printed,graphic,short sleeves,regular sleeves,
53363,Women Tops & Tunics,10,navy blue,default,regular,,party,solid,solid,,,default
53364,Women Tops & Tunics,10,,regular,,square neck,,,solid,three-quarter sleeves,,
53365,Women Tops & Tunics,10,,regular,,round neck,casual,solid,,three-quarter sleeves,regular sleeves,
53366,Women Tops & Tunics,10,black,fitted,regular,round neck,casual,default,default,short sleeves,regular sleeves,default
53367,Women Tops & Tunics,10,yellow,regular,crop,round neck,casual,printed,default,short sleeves,regular sleeves,tie-ups
53368,Women Tops & Tunics,10,,,,v-neck,,solid,,long sleeves,,knitted
53369,Women Tops & Tunics,10,black,default,,default,casual,default,floral,,,default
53370,Women Tops & Tunics,10,,,,,,,,long sleeves,,knitted
53371,Women Tops & Tunics,10,,,,high,,,,,,
53372,Women Tops & Tunics,10,,,,sweetheart neck,,,,,,knitted
53373,Women Tops & Tunics,10,blue,regular,,,,,solid,three-quarter sleeves,,
53374,Women Tops & Tunics,10,default,regular,regular,round neck,casual,solid,solid,short sleeves,default,default
53375,Women Tops & Tunics,10,red,regular,regular,round neck,casual,solid,solid,three-quarter sleeves,default,applique
53376,Women Tops & Tunics,10,green,regular,regular,round neck,casual,printed,default,three-quarter sleeves,regular sleeves,
53377,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,graphic,long sleeves,regular sleeves,
53378,Women Tops & Tunics,10,red,regular,regular,v-neck,casual,solid,solid,short sleeves,default,
53379,Women Tops & Tunics,10,multicolor,fitted,regular,high,,printed,default,,,
53380,Women Tops & Tunics,10,maroon,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
53381,Women Tops & Tunics,10,peach,fitted,regular,round neck,casual,solid,solid,short sleeves,,knitted
53382,Women Tops & Tunics,10,,,,high,,,,,,
53383,Women Tops & Tunics,10,,fitted,crop,,casual,,solid,short sleeves,,ruffles
53384,Women Tops & Tunics,10,,regular,,round neck,casual,solid,solid,three-quarter sleeves,regular sleeves,
53385,Women Tops & Tunics,10,pink,,,,casual,,,short sleeves,puff sleeves,
53386,Women Tops & Tunics,10,black,fitted,crop,round neck,casual,default,default,short sleeves,regular sleeves,
53387,Women Tops & Tunics,10,red,fitted,,sweetheart neck,,,,,,
53388,Women Tops & Tunics,10,pink,regular,regular,round neck,,solid,solid,three-quarter sleeves,default,ruffles
53389,Women Tops & Tunics,10,white,,,,,,,short sleeves,puff sleeves,
53390,Women Tops & Tunics,10,multicolor,default,crop,round neck,casual,solid,solid,three-quarter sleeves,regular sleeves,default
53391,Women Tops & Tunics,10,,,regular,,,,,three-quarter sleeves,,
53392,Women Tops & Tunics,10,blue,,,,,,solid,,regular sleeves,knitted
53393,Women Tops & Tunics,10,maroon,regular,crop,round neck,casual,printed,typography,long sleeves,regular sleeves,default
53394,Women Tops & Tunics,10,default,,,,casual,,solid,long sleeves,,knitted
53395,Women Tops & Tunics,10,pink,regular,regular,round neck,casual,printed,default,three-quarter sleeves,regular sleeves,
53396,Women Tops & Tunics,10,white,fitted,crop,round neck,casual,solid,solid,three-quarter sleeves,,knitted
53397,Women Tops & Tunics,10,red,regular,crop,round neck,casual,default,default,short sleeves,regular sleeves,knitted
53398,Women Tops & Tunics,10,,regular,,,,,,,puff sleeves,
53399,Women Tops & Tunics,10,,,regular,,casual,,,,puff sleeves,
53400,Women Tops & Tunics,10,maroon,,regular,,casual,solid,,short sleeves,puff sleeves,
53401,Women Tops & Tunics,10,black,boxy,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,tie-ups
53402,Women Tops & Tunics,10,multicolor,default,crop,default,,printed,,sleeveless,,
53403,Women Tops & Tunics,10,black,,,,,solid,,,regular sleeves,
53404,Women Tops & Tunics,10,white,regular,regular,sweetheart neck,casual,solid,solid,short sleeves,puff sleeves,
53405,Women Tops & Tunics,10,peach,regular,regular,round neck,casual,printed,floral,three-quarter sleeves,default,
53406,Women Tops & Tunics,10,pink,regular,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,
53407,Women Tops & Tunics,10,multicolor,regular,regular,v-neck,casual,solid,solid,short sleeves,puff sleeves,ruffles
53408,Women Tops & Tunics,10,peach,regular,regular,default,casual,solid,solid,sleeveless,sleeveless,
53409,Women Tops & Tunics,10,white,,crop,,casual,printed,,short sleeves,,
53410,Women Tops & Tunics,10,yellow,fitted,crop,default,casual,solid,solid,sleeveless,sleeveless,
53411,Women Tops & Tunics,10,white,fitted,regular,square neck,party,solid,solid,short sleeves,puff sleeves,
53412,Women Tops & Tunics,10,pink,,,round neck,casual,,,,,
53413,Women Tops & Tunics,10,peach,fitted,regular,round neck,casual,solid,solid,short sleeves,,knitted
53414,Women Tops & Tunics,10,maroon,regular,regular,round neck,casual,printed,default,three-quarter sleeves,regular sleeves,
53415,Women Tops & Tunics,10,multicolor,fitted,regular,high,casual,printed,default,long sleeves,,
53416,Women Tops & Tunics,10,,regular,,square neck,casual,solid,solid,,puff sleeves,
53417,Women Tops & Tunics,10,black,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
53418,Women Tops & Tunics,10,pink,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
53419,Women Tops & Tunics,10,multicolor,regular,regular,round neck,casual,solid,default,three-quarter sleeves,regular sleeves,applique
53420,Women Tops & Tunics,10,pink,regular,regular,square neck,casual,solid,solid,three-quarter sleeves,puff sleeves,
53421,Women Tops & Tunics,10,white,regular,regular,v-neck,casual,printed,solid,sleeveless,regular sleeves,ruffles
53422,Women Tops & Tunics,10,,,regular,square neck,,solid,solid,,,
53423,Women Tops & Tunics,10,default,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
53424,Women Tops & Tunics,10,black,,regular,round neck,casual,,solid,long sleeves,regular sleeves,
53425,Women Tops & Tunics,10,white,,,,,,,short sleeves,,
53426,Women Tops & Tunics,10,,,,,,,,,puff sleeves,
53427,Women Tops & Tunics,10,,,,square neck,,,solid,,,
53428,Women Tops & Tunics,10,maroon,fitted,regular,round neck,casual,solid,solid,three-quarter sleeves,default,knitted
53429,Women Tops & Tunics,10,default,fitted,crop,square neck,casual,solid,solid,short sleeves,regular sleeves,knitted
53430,Women Tops & Tunics,10,red,regular,regular,v-neck,casual,default,default,short sleeves,,
53431,Women Tops & Tunics,10,yellow,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,default
53432,Women Tops & Tunics,10,blue,default,regular,round neck,casual,solid,solid,long sleeves,regular sleeves,applique
53433,Women Tops & Tunics,10,,,,square neck,,solid,,,,knitted
53434,Women Tops & Tunics,10,red,fitted,crop,high,casual,solid,solid,short sleeves,regular sleeves,knitted
53435,Women Tops & Tunics,10,blue,regular,regular,round neck,casual,solid,solid,short sleeves,,knitted
53436,Women Tops & Tunics,10,default,regular,regular,round neck,casual,printed,quirky,three-quarter sleeves,regular sleeves,
53437,Women Tops & Tunics,10,default,regular,,,casual,,,,,
53438,Women Tops & Tunics,10,yellow,regular,regular,round neck,casual,printed,typography,long sleeves,regular sleeves,tie-ups
53439,Women Tops & Tunics,10,black,fitted,crop,round neck,casual,solid,solid,sleeveless,sleeveless,applique
53440,Women Tops & Tunics,10,,regular,,,,,solid,long sleeves,,
53441,Women Tops & Tunics,10,pink,fitted,,round neck,,solid,,long sleeves,regular sleeves,knitted
53442,Women Tops & Tunics,10,white,fitted,regular,round neck,casual,solid,solid,short sleeves,,knitted
53443,Women Tops & Tunics,10,pink,fitted,crop,default,casual,solid,solid,sleeveless,sleeveless,
53444,Women Tops & Tunics,10,black,,crop,round neck,casual,solid,,short sleeves,default,knitted
53445,Women Tops & Tunics,10,maroon,fitted,crop,v-neck,casual,solid,solid,long sleeves,regular sleeves,knitted
53446,Women Tops & Tunics,10,,default,,default,casual,default,,three-quarter sleeves,regular sleeves,default
53447,Women Tops & Tunics,10,black,fitted,regular,round neck,casual,solid,solid,three-quarter sleeves,default,knitted
53448,Women Tops & Tunics,10,yellow,boxy,crop,round neck,casual,printed,graphic,long sleeves,default,
53449,Women Tops & Tunics,10,,,regular,,,,,,puff sleeves,
53450,Women Tops & Tunics,10,peach,regular,regular,round neck,casual,,solid,,,knitted
53451,Women Tops & Tunics,10,default,regular,regular,default,casual,solid,solid,short sleeves,default,default
53452,Women Tops & Tunics,10,black,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
53453,Women Tops & Tunics,10,white,regular,crop,round neck,casual,printed,graphic,sleeveless,sleeveless,
53454,Women Tops & Tunics,10,black,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,default
53455,Women Tops & Tunics,10,,,,,casual,,default,,puff sleeves,
53456,Women Tops & Tunics,10,red,default,regular,high,casual,solid,solid,short sleeves,default,applique
53457,Women Tops & Tunics,10,blue,regular,regular,round neck,party,printed,quirky,short sleeves,regular sleeves,ruffles
53458,Women Tops & Tunics,10,red,regular,regular,default,casual,solid,solid,three-quarter sleeves,regular sleeves,
53459,Women Tops & Tunics,10,pink,boxy,crop,round neck,casual,printed,typography,long sleeves,regular sleeves,
53460,Women Tops & Tunics,10,black,,regular,,,,,,,
53461,Women Tops & Tunics,10,green,fitted,,,,,solid,short sleeves,puff sleeves,
53462,Women Tops & Tunics,10,,,,,,,default,,,
53463,Women Tops & Tunics,10,white,fitted,regular,round neck,casual,default,default,short sleeves,regular sleeves,
53464,Women Tops & Tunics,10,red,fitted,crop,round neck,casual,solid,solid,short sleeves,regular sleeves,knitted
53465,Women Tops & Tunics,10,,,,high,casual,solid,solid,,,knitted
53466,Women Tops & Tunics,10,pink,,,round neck,casual,,,,,
53467,Women Tops & Tunics,10,,fitted,,v-neck,casual,,,,,
53468,Women Tops & Tunics,10,black,fitted,,,,solid,,,regular sleeves,knitted
53469,Women Tops & Tunics,10,green,,regular,,,solid,,,,knitted
53470,Women Tops & Tunics,10,,fitted,regular,high,,solid,solid,long sleeves,regular sleeves,
53471,Women Tops & Tunics,10,black,regular,regular,round neck,,printed,solid,short sleeves,default,
53472,Women Tops & Tunics,10,multicolor,,,round neck,,default,,long sleeves,,
53473,Women Tops & Tunics,10,maroon,fitted,regular,round neck,casual,solid,solid,three-quarter sleeves,,knitted
53474,Women Tops & Tunics,10,pink,regular,regular,high,casual,solid,solid,short sleeves,,ruffles
53475,Women Tops & Tunics,10,,,regular,,,,solid,three-quarter sleeves,puff sleeves,
53476,Women Tops & Tunics,10,white,regular,crop,round neck,casual,printed,typography,sleeveless,sleeveless,knitted
53477,Women Tops & Tunics,10,green,fitted,regular,default,casual,solid,solid,long sleeves,regular sleeves,
53478,Women Tops & Tunics,10,white,regular,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,waist tie-ups
53479,Women Tops & Tunics,10,white,,,round neck,casual,,solid,short sleeves,,
53480,Women Tops & Tunics,10,,default,,,,solid,,,regular sleeves,
53481,Women Tops & Tunics,10,pink,fitted,regular,,,solid,solid,,puff sleeves,
53482,Women Tops & Tunics,10,yellow,,regular,,casual,,,long sleeves,,
53483,Women Tops & Tunics,10,,,,,,,,,puff sleeves,
53484,Women Tops & Tunics,10,,fitted,,square neck,casual,,solid,,,
53485,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,default
53486,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,
53487,Women Tops & Tunics,10,default,,,,,,,,,
53488,Women Tops & Tunics,10,default,,regular,,,,,short sleeves,regular sleeves,
53489,Women Tops & Tunics,10,pink,boxy,crop,v-neck,casual,printed,typography,short sleeves,regular sleeves,
53490,Women Tops & Tunics,10,,fitted,,square neck,casual,,,,,knitted
53491,Women Tops & Tunics,10,peach,fitted,crop,,,solid,,,default,default
53492,Women Tops & Tunics,10,black,fitted,crop,v-neck,casual,printed,floral,long sleeves,regular sleeves,default
53493,Women Tops & Tunics,10,peach,fitted,crop,default,casual,solid,solid,short sleeves,regular sleeves,knitted
53494,Women Tops & Tunics,10,,,,,,,,,default,
53495,Women Tops & Tunics,10,white,regular,regular,,,solid,,short sleeves,puff sleeves,
53496,Women Tops & Tunics,10,,,,high,,,,long sleeves,,
53497,Women Tops & Tunics,10,multicolor,regular,regular,round neck,casual,printed,default,short sleeves,regular sleeves,ruffles
53498,Women Tops & Tunics,10,maroon,,,,,,,,puff sleeves,
53499,Women Tops & Tunics,10,red,regular,regular,default,casual,solid,solid,short sleeves,default,ruffles
53500,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,graphic,short sleeves,regular sleeves,
53501,Women Tops & Tunics,10,green,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,default
53502,Women Tops & Tunics,10,yellow,fitted,crop,v-neck,casual,solid,solid,long sleeves,regular sleeves,knitted
53503,Women Tops & Tunics,10,white,regular,,,,,solid,,,
53504,Women Tops & Tunics,10,black,,,high,casual,,,short sleeves,regular sleeves,knitted
53505,Women Tops & Tunics,10,pink,regular,crop,round neck,casual,printed,typography,sleeveless,sleeveless,
53506,Women Tops & Tunics,10,,default,crop,,,solid,,,,
53507,Women Tops & Tunics,10,pink,,regular,round neck,casual,,default,short sleeves,regular sleeves,
53508,Women Tops & Tunics,10,default,regular,regular,round neck,casual,printed,default,three-quarter sleeves,regular sleeves,
53509,Women Tops & Tunics,10,black,regular,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,tie-ups
53510,Women Tops & Tunics,10,green,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
53511,Women Tops & Tunics,10,,,,,casual,default,,sleeveless,,
53512,Women Tops & Tunics,10,red,regular,regular,stylised,casual,solid,solid,short sleeves,default,
53513,Women Tops & Tunics,10,white,regular,crop,v-neck,casual,solid,solid,sleeveless,sleeveless,
53514,Women Tops & Tunics,10,pink,fitted,regular,square neck,casual,solid,solid,three-quarter sleeves,regular sleeves,knitted
53515,Women Tops & Tunics,10,maroon,fitted,regular,square neck,casual,solid,solid,three-quarter sleeves,default,knitted
53516,Women Tops & Tunics,10,default,fitted,crop,square neck,casual,solid,solid,short sleeves,regular sleeves,knitted
53517,Women Tops & Tunics,10,white,regular,,,,,solid,,,
53518,Women Tops & Tunics,10,multicolor,regular,regular,round neck,casual,printed,floral,three-quarter sleeves,regular sleeves,
53519,Women Tops & Tunics,10,,,,,,,,,puff sleeves,
53520,Women Tops & Tunics,10,black,,crop,,,,,,regular sleeves,
53521,Women Tops & Tunics,10,,,,,casual,,default,,,knitted
53522,Women Tops & Tunics,10,multicolor,regular,crop,v-neck,casual,solid,solid,short sleeves,regular sleeves,waist tie-ups
53523,Women Tops & Tunics,10,navy blue,,regular,v-neck,casual,solid,solid,short sleeves,default,knitted
53524,Women Tops & Tunics,10,pink,boxy,crop,round neck,casual,printed,typography,long sleeves,regular sleeves,
53525,Women Tops & Tunics,10,,,,,casual,solid,,long sleeves,,
53526,Women Tops & Tunics,10,red,boxy,crop,,,,default,long sleeves,,
53527,Women Tops & Tunics,10,blue,regular,regular,round neck,casual,solid,solid,long sleeves,regular sleeves,knitted
53528,Women Tops & Tunics,10,blue,fitted,regular,round neck,casual,solid,solid,long sleeves,regular sleeves,tie-ups
53529,Women Tops & Tunics,10,blue,fitted,regular,round neck,casual,solid,solid,short sleeves,,default
53530,Women Tops & Tunics,10,blue,,,,,,,,puff sleeves,
53531,Women Tops & Tunics,10,green,fitted,regular,high,casual,solid,solid,short sleeves,,ruffles
53532,Women Tops & Tunics,10,blue,,,,,solid,,,puff sleeves,
53533,Women Tops & Tunics,10,,,,high,,,solid,short sleeves,,
53534,Women Tops & Tunics,10,default,regular,regular,round neck,casual,printed,default,three-quarter sleeves,regular sleeves,
53535,Women Tops & Tunics,10,default,regular,regular,square neck,casual,solid,solid,three-quarter sleeves,puff sleeves,
53536,Women Tops & Tunics,10,,,,,,,,long sleeves,,
53537,Women Tops & Tunics,10,,,,high,,,,,,
53538,Women Tops & Tunics,10,white,,,,,solid,,,,
53539,Women Tops & Tunics,10,black,fitted,,,casual,solid,solid,short sleeves,,
53540,Women Tops & Tunics,10,default,regular,crop,round neck,,printed,quirky,short sleeves,regular sleeves,default
53541,Women Tops & Tunics,10,,,crop,default,casual,solid,,long sleeves,regular sleeves,
53542,Women Tops & Tunics,10,default,regular,regular,round neck,casual,printed,default,three-quarter sleeves,regular sleeves,
53543,Women Tops & Tunics,10,black,boxy,crop,round neck,,printed,typography,short sleeves,regular sleeves,
53544,Women Tops & Tunics,10,,,,,,,,three-quarter sleeves,,ruffles
53545,Women Tops & Tunics,10,pink,regular,crop,round neck,party,printed,graphic,short sleeves,regular sleeves,
53546,Women Tops & Tunics,10,white,,,,,,,,,
53547,Women Tops & Tunics,10,yellow,fitted,regular,square neck,party,solid,solid,short sleeves,,ruffles
53548,Women Tops & Tunics,10,peach,,,,,,,,,knitted
53549,Women Tops & Tunics,10,black,,regular,v-neck,,,solid,short sleeves,default,
53550,Women Tops & Tunics,10,,regular,regular,,,,,,puff sleeves,
53551,Women Tops & Tunics,10,multicolor,regular,regular,round neck,casual,solid,solid,three-quarter sleeves,default,default
53552,Women Tops & Tunics,10,white,boxy,crop,default,casual,solid,solid,short sleeves,regular sleeves,
53553,Women Tops & Tunics,10,,default,,round neck,casual,solid,solid,long sleeves,regular sleeves,knitted
53554,Women Tops & Tunics,10,black,fitted,regular,high,casual,printed,default,short sleeves,regular sleeves,waist tie-ups
53555,Women Tops & Tunics,10,navy blue,regular,regular,round neck,casual,printed,default,three-quarter sleeves,regular sleeves,default
53556,Women Tops & Tunics,10,green,fitted,regular,round neck,casual,solid,solid,long sleeves,regular sleeves,knitted
53557,Women Tops & Tunics,10,default,fitted,,,casual,,solid,short sleeves,,
53558,Women Tops & Tunics,10,default,default,regular,high,casual,solid,solid,long sleeves,,default
53559,Women Tops & Tunics,10,red,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
53560,Women Tops & Tunics,10,peach,,crop,,,,solid,,,knitted
53561,Women Tops & Tunics,10,maroon,fitted,regular,,casual,solid,solid,,regular sleeves,knitted
53562,Women Tops & Tunics,10,,,,,casual,solid,solid,short sleeves,puff sleeves,
53563,Women Tops & Tunics,10,default,fitted,regular,square neck,casual,solid,solid,three-quarter sleeves,default,knitted
53564,Women Tops & Tunics,10,black,regular,regular,high,casual,printed,default,short sleeves,regular sleeves,waist tie-ups
53565,Women Tops & Tunics,10,,fitted,,,,,,sleeveless,,
53566,Women Tops & Tunics,10,,default,regular,,,,,,,
53567,Women Tops & Tunics,10,,,,,,,,short sleeves,puff sleeves,
53568,Women Tops & Tunics,10,,,,,,printed,default,,,
53569,Women Tops & Tunics,10,black,fitted,crop,round neck,,,,,,
53570,Women Tops & Tunics,10,black,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
53571,Women Tops & Tunics,10,black,boxy,crop,,,,typography,,regular sleeves,
53572,Women Tops & Tunics,10,white,regular,,,,solid,solid,,,
53573,Women Tops & Tunics,10,navy blue,fitted,,,casual,solid,solid,long sleeves,regular sleeves,knitted
53574,Women Tops & Tunics,10,multicolor,regular,regular,round neck,party,default,solid,short sleeves,regular sleeves,default
53575,Women Tops & Tunics,10,black,regular,,,,solid,solid,,,
53576,Women Tops & Tunics,10,default,regular,,,,solid,solid,,,
53577,Women Tops & Tunics,10,blue,fitted,regular,v-neck,casual,solid,solid,long sleeves,regular sleeves,tie-ups
53578,Women Tops & Tunics,10,default,regular,regular,round neck,casual,printed,default,short sleeves,regular sleeves,tie-ups
53579,Women Tops & Tunics,10,white,regular,regular,round neck,,printed,graphic,short sleeves,regular sleeves,applique
53580,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,default
53581,Women Tops & Tunics,10,white,fitted,crop,round neck,casual,solid,solid,short sleeves,default,knitted
53582,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,graphic,short sleeves,regular sleeves,
53583,Women Tops & Tunics,10,default,boxy,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,default
53584,Women Tops & Tunics,10,white,regular,regular,,,printed,,,regular sleeves,
53585,Women Tops & Tunics,10,maroon,fitted,regular,high,casual,solid,solid,short sleeves,default,
53586,Women Tops & Tunics,10,black,fitted,regular,high,casual,solid,solid,short sleeves,regular sleeves,ruffles
53587,Women Tops & Tunics,10,black,boxy,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,
53588,Women Tops & Tunics,10,pink,regular,crop,v-neck,casual,solid,solid,long sleeves,regular sleeves,
53589,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,graphic,long sleeves,regular sleeves,
53590,Women Tops & Tunics,10,yellow,regular,regular,round neck,casual,solid,solid,long sleeves,regular sleeves,ruffles
53591,Women Tops & Tunics,10,black,,,,,printed,default,,,
53592,Women Tops & Tunics,10,black,regular,regular,high,casual,default,default,short sleeves,regular sleeves,
53593,Women Tops & Tunics,10,multicolor,regular,regular,round neck,casual,solid,solid,short sleeves,regular sleeves,waist tie-ups
53594,Women Tops & Tunics,10,black,regular,crop,default,casual,default,solid,short sleeves,regular sleeves,
53595,Women Tops & Tunics,10,,,crop,round neck,,,,long sleeves,,
53596,Women Tops & Tunics,10,default,,,,casual,,solid,long sleeves,,
53597,Women Tops & Tunics,10,blue,default,regular,default,casual,solid,,short sleeves,default,ruffles
53598,Women Tops & Tunics,10,black,fitted,crop,round neck,casual,solid,solid,short sleeves,regular sleeves,
53599,Women Tops & Tunics,10,yellow,,,,casual,,solid,,,knitted
53600,Women Tops & Tunics,10,blue,regular,regular,stylised,casual,solid,solid,short sleeves,default,
53601,Women Tops & Tunics,10,navy blue,fitted,regular,sweetheart neck,casual,solid,solid,short sleeves,puff sleeves,knitted
53602,Women Tops & Tunics,10,multicolor,regular,regular,sweetheart neck,casual,printed,default,short sleeves,puff sleeves,
53603,Women Tops & Tunics,10,black,fitted,regular,sweetheart neck,casual,printed,default,short sleeves,puff sleeves,knitted
