id,Category,len,blouse_pattern,border,border_width,color,occasion,ornamentation,pallu_details,pattern,print_or_pattern_type,transparency
10312,Sarees,10,,zari,small border,white,traditional,,,zari woven,peacock,no
10313,Sarees,10,,solid,small border,white,party,,,woven design,floral,yes
10314,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10315,Sarees,10,,zari,small border,white,traditional,,same as saree,zari woven,floral,no
10316,Sarees,10,same as saree,zari,big border,multicolor,party,tassels and latkans,same as saree,woven design,checked,no
10317,Sarees,10,,woven design,,multicolor,traditional,,,,,no
10318,Sarees,10,,zari,small border,cream,party,,,zari woven,elephant,yes
10319,Sarees,10,same as saree,woven design,big border,default,daily,,same as saree,zari woven,ethnic motif,no
10320,Sarees,10,same as border,zari,big border,default,party,jacquard,zari woven,solid,solid,no
10321,Sarees,10,same as saree,temple border,small border,cream,party,,same as saree,zari woven,default,no
10322,Sarees,10,,woven design,big border,default,traditional,,zari woven,zari woven,default,no
10323,Sarees,10,,woven design,,multicolor,traditional,,,,,no
10324,Sarees,10,,default,,default,,,,,,yes
10325,Sarees,10,same as saree,woven design,no border,multicolor,party,jacquard,woven design,zari woven,,no
10326,Sarees,10,,zari,small border,cream,traditional,,,zari woven,ethnic motif,no
10327,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,no
10328,Sarees,10,same as border,default,small border,default,party,tassels and latkans,same as saree,zari woven,ethnic motif,no
10329,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,yes
10330,Sarees,10,,zari,small border,white,party,,,zari woven,default,yes
10331,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
10332,Sarees,10,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,no
10333,Sarees,10,,solid,small border,white,party,,,zari woven,peacock,no
10334,Sarees,10,,default,,default,party,,zari woven,zari woven,default,no
10335,Sarees,10,,zari,small border,white,party,,,zari woven,peacock,no
10336,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
10337,Sarees,10,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,no
10338,Sarees,10,default,woven design,,multicolor,traditional,,zari woven,zari woven,default,no
10339,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10340,Sarees,10,same as saree,woven design,big border,multicolor,wedding,,same as saree,zari woven,default,no
10341,Sarees,10,same as border,zari,big border,default,party,jacquard,zari woven,solid,solid,yes
10342,Sarees,10,same as saree,zari,big border,multicolor,daily,tassels and latkans,zari woven,woven design,checked,no
10343,Sarees,10,,temple border,small border,cream,party,,,zari woven,peacock,yes
10344,Sarees,10,same as saree,woven design,no border,multicolor,party,jacquard,woven design,zari woven,,no
10345,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
10346,Sarees,10,,woven design,,multicolor,traditional,,,,,no
10347,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,yes
10348,Sarees,10,,,,,,,zari woven,,,
10349,Sarees,10,,zari,small border,cream,traditional,,,zari woven,peacock,no
10350,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
10351,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
10352,Sarees,10,,zari,small border,cream,party,,,zari woven,ethnic motif,no
10353,Sarees,10,,woven design,small border,default,daily,,same as saree,default,default,no
10354,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
10355,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10356,Sarees,10,,zari,big border,cream,party,,,zari woven,peacock,no
10357,Sarees,10,,zari,small border,cream,party,,,zari woven,ethnic motif,yes
10358,Sarees,10,,default,,default,party,,zari woven,zari woven,default,no
10359,Sarees,10,same as border,woven design,big border,multicolor,traditional,,same as saree,zari woven,default,no
10360,Sarees,10,,,,multicolor,,default,,default,,
10361,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10362,Sarees,10,,woven design,small border,multicolor,traditional,,same as saree,default,ethnic motif,no
10363,Sarees,10,,woven design,,multicolor,daily,,,,,no
10364,Sarees,10,same as saree,zari,small border,white,daily,default,default,zari woven,default,no
10365,Sarees,10,,default,small border,,,,,default,,
10366,Sarees,10,,temple border,small border,white,party,,,zari woven,peacock,no
10367,Sarees,10,,zari,small border,cream,traditional,,,zari woven,floral,yes
10368,Sarees,10,same as saree,woven design,big border,default,wedding,,same as saree,zari woven,ethnic motif,no
10369,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
10370,Sarees,10,,zari,small border,cream,traditional,,,zari woven,elephant,no
10371,Sarees,10,,woven design,small border,white,party,,,woven design,floral,no
10372,Sarees,10,same as border,woven design,big border,multicolor,daily,,zari woven,zari woven,default,no
10373,Sarees,10,,woven design,big border,multicolor,daily,,,zari woven,ethnic motif,no
10374,Sarees,10,,zari,big border,default,traditional,,zari woven,zari woven,default,no
10375,Sarees,10,,zari,small border,cream,party,,,zari woven,elephant,no
10376,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,no
10377,Sarees,10,,woven design,,multicolor,traditional,,,,,no
10378,Sarees,10,,zari,small border,cream,traditional,,,zari woven,peacock,no
10379,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
10380,Sarees,10,,zari,big border,pink,traditional,,zari woven,zari woven,ethnic motif,no
10381,Sarees,10,default,no border,no border,default,party,jacquard,same as saree,zari woven,default,no
10382,Sarees,10,,woven design,big border,multicolor,wedding,,default,woven design,default,no
10383,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,yes
10384,Sarees,10,,zari,small border,pink,traditional,,zari woven,zari woven,ethnic motif,no
10385,Sarees,10,,zari,small border,white,traditional,,,zari woven,floral,yes
10386,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
10387,Sarees,10,same as saree,woven design,big border,default,traditional,,same as saree,zari woven,ethnic motif,no
10388,Sarees,10,same as saree,temple border,big border,default,party,,zari woven,solid,solid,yes
10389,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10390,Sarees,10,same as saree,woven design,small border,multicolor,traditional,,,zari woven,default,no
10391,Sarees,10,same as saree,temple border,small border,green,party,default,default,default,default,no
10392,Sarees,10,same as border,zari,big border,default,party,,zari woven,zari woven,default,no
10393,Sarees,10,,,,pink,traditional,,,zari woven,checked,no
10394,Sarees,10,same as border,zari,big border,default,traditional,jacquard,same as saree,zari woven,floral,no
10395,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
10396,Sarees,10,same as border,woven design,small border,default,traditional,,,zari woven,ethnic motif,no
10397,Sarees,10,,temple border,small border,cream,party,,,zari woven,ethnic motif,no
10398,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
10399,Sarees,10,same as saree,woven design,no border,multicolor,party,jacquard,woven design,zari woven,,no
10400,Sarees,10,same as saree,default,small border,default,party,default,same as saree,printed,default,no
10401,Sarees,10,,zari,small border,cream,party,,,zari woven,elephant,yes
10402,Sarees,10,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,no
10403,Sarees,10,same as saree,woven design,big border,multicolor,wedding,,same as saree,zari woven,ethnic motif,no
10404,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
10405,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
10406,Sarees,10,,zari,small border,cream,traditional,,,zari woven,botanical,no
10407,Sarees,10,,zari,small border,white,traditional,,,zari woven,floral,no
10408,Sarees,10,same as saree,zari,big border,multicolor,party,tassels and latkans,same as saree,woven design,checked,no
10409,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,no
10410,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,yes
10411,Sarees,10,,zari,big border,navy blue,party,,,zari woven,floral,no
10412,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
10413,Sarees,10,,,,default,daily,,zari woven,zari woven,default,no
10414,Sarees,10,,zari,big border,green,party,,,zari woven,ethnic motif,no
10415,Sarees,10,,zari,big border,pink,traditional,default,zari woven,zari woven,ethnic motif,no
10416,Sarees,10,,zari,big border,default,traditional,,zari woven,zari woven,default,no
10417,Sarees,10,,zari,small border,default,party,,,zari woven,ethnic motif,no
10418,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
10419,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,no
10420,Sarees,10,,temple border,small border,cream,party,,,zari woven,peacock,no
10421,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
10422,Sarees,10,,zari,small border,white,party,,,zari woven,floral,no
10423,Sarees,10,,woven design,big border,multicolor,wedding,,,default,ethnic motif,no
10424,Sarees,10,same as saree,woven design,big border,default,daily,,same as saree,default,ethnic motif,no
10425,Sarees,10,,default,,default,traditional,,zari woven,zari woven,default,no
10426,Sarees,10,same as saree,default,small border,default,party,default,same as saree,default,ethnic motif,no
10427,Sarees,10,,zari,small border,white,party,,,zari woven,elephant,no
10428,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,yes
10429,Sarees,10,,zari,small border,white,traditional,,,zari woven,peacock,no
10430,Sarees,10,same as saree,zari,small border,white,party,,same as saree,zari woven,elephant,no
10431,Sarees,10,default,zari,big border,default,party,,,zari woven,default,no
10432,Sarees,10,same as saree,zari,small border,cream,party,default,woven design,zari woven,peacock,no
10433,Sarees,10,,zari,small border,cream,traditional,,,zari woven,default,yes
10434,Sarees,10,default,no border,no border,default,party,,same as saree,zari woven,default,no
10435,Sarees,10,,zari,small border,white,traditional,,,zari woven,ethnic motif,no
10436,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,no
10437,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10438,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
10439,Sarees,10,,temple border,big border,yellow,traditional,,,woven design,ethnic motif,no
10440,Sarees,10,,zari,small border,white,traditional,,,zari woven,ethnic motif,no
10441,Sarees,10,,zari,small border,cream,traditional,,,zari woven,floral,yes
10442,Sarees,10,,zari,small border,cream,party,,,zari woven,default,yes
10443,Sarees,10,,zari,small border,white,party,,,zari woven,peacock,no
10444,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,no
10445,Sarees,10,,zari,small border,white,party,,,zari woven,floral,no
10446,Sarees,10,,zari,small border,white,party,,,zari woven,elephant,yes
10447,Sarees,10,same as border,temple border,big border,default,party,jacquard,zari woven,solid,solid,yes
10448,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10449,Sarees,10,,no border,no border,navy blue,party,,zari woven,woven design,default,no
10450,Sarees,10,,solid,big border,cream,traditional,,,woven design,ethnic motif,no
10451,Sarees,10,,zari,small border,cream,traditional,,,zari woven,elephant,no
10452,Sarees,10,same as saree,woven design,big border,default,daily,,same as saree,default,ethnic motif,no
10453,Sarees,10,,woven design,,multicolor,wedding,,,,,no
10454,Sarees,10,,zari,small border,cream,traditional,,,zari woven,elephant,yes
10455,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
10456,Sarees,10,,zari,small border,white,party,,,zari woven,botanical,no
10457,Sarees,10,,zari,small border,white,party,,,zari woven,floral,no
10458,Sarees,10,,woven design,small border,multicolor,daily,,same as saree,zari woven,default,no
10459,Sarees,10,same as saree,temple border,small border,cream,party,,,zari woven,peacock,no
10460,Sarees,10,default,default,big border,default,daily,,,default,default,no
10461,Sarees,10,same as saree,temple border,small border,cream,party,jacquard,woven design,zari woven,peacock,no
10462,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
10463,Sarees,10,,zari,small border,white,party,,,zari woven,peacock,no
10464,Sarees,10,,zari,big border,default,traditional,,,zari woven,floral,no
10465,Sarees,10,,zari,small border,white,traditional,,,zari woven,peacock,no
10466,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,elephant,no
10467,Sarees,10,,zari,small border,white,party,,,zari woven,floral,no
10468,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10469,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
10470,Sarees,10,,woven design,,multicolor,wedding,,,,,no
10471,Sarees,10,same as saree,temple border,big border,navy blue,daily,jacquard,zari woven,solid,solid,yes
10472,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,no
10473,Sarees,10,,zari,big border,default,traditional,,zari woven,zari woven,default,no
10474,Sarees,10,same as border,temple border,big border,default,party,,zari woven,solid,solid,yes
10475,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
10476,Sarees,10,,zari,small border,cream,party,,,zari woven,elephant,no
10477,Sarees,10,,zari,small border,cream,traditional,,,zari woven,default,yes
10478,Sarees,10,same as border,zari,big border,default,party,,zari woven,solid,solid,yes
10479,Sarees,10,,zari,small border,cream,traditional,,,zari woven,default,no
10480,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,elephant,no
10481,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
10482,Sarees,10,same as saree,zari,small border,pink,traditional,,zari woven,zari woven,botanical,no
10483,Sarees,10,,default,small border,default,wedding,,same as saree,default,default,no
10484,Sarees,10,,zari,small border,white,party,,,zari woven,elephant,no
10485,Sarees,10,default,no border,no border,default,party,,same as saree,zari woven,default,no
10486,Sarees,10,same as border,temple border,big border,yellow,party,,zari woven,solid,solid,no
10487,Sarees,10,,zari,small border,white,traditional,,,zari woven,peacock,no
10488,Sarees,10,same as saree,zari,big border,default,party,,zari woven,solid,solid,no
10489,Sarees,10,same as border,woven design,,default,daily,,,zari woven,default,no
10490,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
10491,Sarees,10,same as saree,zari,big border,default,party,,default,solid,solid,no
10492,Sarees,10,,,,,,,zari woven,,,
10493,Sarees,10,,zari,small border,cream,traditional,,,zari woven,elephant,yes
10494,Sarees,10,,zari,small border,cream,party,,,zari woven,ethnic motif,yes
10495,Sarees,10,default,woven design,,multicolor,traditional,,zari woven,zari woven,default,no
10496,Sarees,10,same as saree,temple border,small border,white,party,,same as saree,zari woven,peacock,no
10497,Sarees,10,same as saree,woven design,big border,default,traditional,,same as saree,default,default,no
10498,Sarees,10,,default,,default,,,,,,no
10499,Sarees,10,,zari,big border,green,traditional,,,zari woven,elephant,no
10500,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
10501,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
10502,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10503,Sarees,10,,zari,small border,white,traditional,,,zari woven,elephant,yes
10504,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
10505,Sarees,10,,woven design,big border,multicolor,wedding,,default,woven design,default,no
10506,Sarees,10,same as saree,woven design,no border,multicolor,party,jacquard,woven design,zari woven,,no
10507,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,no
10508,Sarees,10,,zari,big border,default,traditional,,zari woven,zari woven,default,no
10509,Sarees,10,,temple border,big border,default,traditional,,,woven design,ethnic motif,no
10510,Sarees,10,,zari,small border,white,party,,,zari woven,elephant,no
10511,Sarees,10,,zari,small border,cream,party,,,zari woven,default,no
10512,Sarees,10,,solid,small border,cream,traditional,,,zari woven,floral,no
10513,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
10514,Sarees,10,default,zari,,default,traditional,default,,zari woven,ethnic motif,no
10515,Sarees,10,,,big border,,,,,,,
10516,Sarees,10,,,small border,cream,party,,,zari woven,peacock,no
10517,Sarees,10,,zari,small border,white,party,,,zari woven,default,no
10518,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
10519,Sarees,10,,zari,big border,default,traditional,,zari woven,zari woven,default,no
10520,Sarees,10,,zari,small border,cream,party,,,zari woven,elephant,yes
10521,Sarees,10,same as saree,zari,big border,multicolor,party,tassels and latkans,default,printed,checked,no
10522,Sarees,10,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,no
10523,Sarees,10,same as border,default,small border,default,party,tassels and latkans,same as saree,zari woven,floral,no
10524,Sarees,10,same as saree,woven design,,multicolor,party,jacquard,woven design,zari woven,applique,no
10525,Sarees,10,default,no border,no border,default,party,jacquard,same as saree,zari woven,default,no
10526,Sarees,10,,zari,small border,cream,traditional,,,zari woven,floral,no
10527,Sarees,10,,zari,big border,green,traditional,,zari woven,zari woven,default,no
10528,Sarees,10,,woven design,,default,traditional,,,,,no
10529,Sarees,10,,zari,small border,cream,party,,,zari woven,default,no
10530,Sarees,10,,woven design,small border,cream,party,,,zari woven,peacock,yes
10531,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
10532,Sarees,10,same as border,temple border,small border,yellow,party,,zari woven,solid,solid,yes
10533,Sarees,10,,zari,big border,default,traditional,,zari woven,zari woven,default,no
10534,Sarees,10,,zari,small border,white,party,,,zari woven,floral,no
10535,Sarees,10,,woven design,,multicolor,wedding,,,,,no
10536,Sarees,10,,zari,big border,default,traditional,,,zari woven,default,no
10537,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
10538,Sarees,10,,woven design,big border,default,traditional,,,zari woven,ethnic motif,no
10539,Sarees,10,,woven design,,multicolor,wedding,,,,,no
10540,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10541,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,elephant,no
10542,Sarees,10,,no border,no border,green,party,,zari woven,zari woven,ethnic motif,no
10543,Sarees,10,,zari,small border,cream,traditional,,,zari woven,peacock,yes
10544,Sarees,10,same as border,default,big border,default,party,,zari woven,zari woven,default,no
10545,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10546,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,yes
10547,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,yes
10548,Sarees,10,,woven design,,multicolor,traditional,,,,,no
10549,Sarees,10,same as saree,solid,small border,white,traditional,default,same as saree,zari woven,default,no
10550,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
10551,Sarees,10,default,default,,multicolor,,default,default,default,,yes
10552,Sarees,10,same as border,woven design,big border,multicolor,traditional,,,zari woven,ethnic motif,no
10553,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10554,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10555,Sarees,10,,zari,big border,white,party,,,zari woven,floral,no
10556,Sarees,10,same as border,zari,big border,default,party,,zari woven,solid,solid,no
10557,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10558,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
10559,Sarees,10,,woven design,,multicolor,wedding,,,,,no
10560,Sarees,10,,woven design,,multicolor,traditional,,,,,no
10561,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
10562,Sarees,10,same as saree,temple border,big border,default,party,,zari woven,solid,solid,yes
10563,Sarees,10,,zari,small border,white,party,,,zari woven,elephant,yes
10564,Sarees,10,,woven design,big border,default,traditional,,same as saree,zari woven,ethnic motif,no
10565,Sarees,10,same as border,no border,big border,navy blue,party,tassels and latkans,,zari woven,ethnic motif,no
10566,Sarees,10,,woven design,,multicolor,wedding,,,,,no
10567,Sarees,10,,woven design,,default,traditional,,,zari woven,ethnic motif,no
10568,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
10569,Sarees,10,,zari,big border,multicolor,wedding,,same as saree,zari woven,default,no
10570,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10571,Sarees,10,,zari,small border,cream,party,,,zari woven,elephant,no
10572,Sarees,10,default,zari,big border,default,traditional,,,zari woven,default,no
10573,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
10574,Sarees,10,same as border,zari,big border,default,traditional,,zari woven,zari woven,floral,no
10575,Sarees,10,default,no border,no border,navy blue,traditional,jacquard,zari woven,zari woven,peacock,no
10576,Sarees,10,,temple border,small border,white,party,,,zari woven,peacock,no
10577,Sarees,10,same as border,woven design,small border,multicolor,traditional,,same as saree,zari woven,default,no
10578,Sarees,10,,zari,small border,white,party,,,zari woven,elephant,yes
10579,Sarees,10,same as saree,zari,small border,white,party,jacquard,woven design,zari woven,floral,no
10580,Sarees,10,,zari,small border,white,traditional,,,zari woven,ethnic motif,no
10581,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
10582,Sarees,10,,woven design,big border,default,wedding,,same as saree,zari woven,ethnic motif,no
10583,Sarees,10,,woven design,,multicolor,daily,,,,,no
10584,Sarees,10,,temple border,small border,cream,party,,,zari woven,peacock,no
10585,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
10586,Sarees,10,same as border,default,small border,default,party,tassels and latkans,same as saree,zari woven,ethnic motif,no
10587,Sarees,10,,zari,small border,cream,traditional,,,zari woven,default,no
10588,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10589,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
10590,Sarees,10,same as border,temple border,big border,default,party,jacquard,zari woven,solid,solid,yes
10591,Sarees,10,,temple border,small border,cream,traditional,,,zari woven,ethnic motif,no
10592,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
10593,Sarees,10,same as saree,zari,big border,multicolor,daily,tassels and latkans,default,printed,checked,no
10594,Sarees,10,same as border,woven design,big border,multicolor,daily,,same as saree,zari woven,default,no
10595,Sarees,10,default,,,,party,default,,,floral,
10596,Sarees,10,,temple border,small border,white,party,,,zari woven,ethnic motif,no
10597,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10598,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
10599,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
10600,Sarees,10,,zari,big border,navy blue,traditional,,,zari woven,peacock,no
10601,Sarees,10,,zari,small border,cream,traditional,,,zari woven,peacock,no
10602,Sarees,10,default,default,small border,default,daily,,,default,default,no
10603,Sarees,10,same as border,zari,big border,default,traditional,,zari woven,default,default,no
10604,Sarees,10,,zari,small border,cream,traditional,,,zari woven,floral,no
10605,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10606,Sarees,10,,woven design,,multicolor,wedding,,,,,no
10607,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
10608,Sarees,10,,zari,small border,cream,party,,,zari woven,ethnic motif,yes
10609,Sarees,10,,woven design,,multicolor,wedding,,,,,no
10610,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10611,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
10612,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
10613,Sarees,10,same as saree,woven design,no border,multicolor,party,jacquard,woven design,zari woven,,no
10614,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10615,Sarees,10,solid,woven design,big border,default,daily,,zari woven,woven design,default,no
10616,Sarees,10,solid,zari,big border,default,daily,jacquard,zari woven,solid,solid,no
10617,Sarees,10,same as saree,woven design,big border,default,daily,,same as saree,default,ethnic motif,no
10618,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
10619,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
10620,Sarees,10,,,,,,,,,default,
10621,Sarees,10,default,default,,default,daily,,same as saree,default,default,no
10622,Sarees,10,same as saree,woven design,big border,multicolor,daily,,same as saree,zari woven,ethnic motif,no
10623,Sarees,10,,temple border,small border,cream,party,,,zari woven,peacock,yes
10624,Sarees,10,,woven design,,multicolor,traditional,,,,,no
10625,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
10626,Sarees,10,same as saree,woven design,no border,multicolor,party,jacquard,woven design,zari woven,,no
10627,Sarees,10,,woven design,,default,traditional,,,,,no
10628,Sarees,10,same as saree,temple border,big border,default,party,,zari woven,solid,solid,no
10629,Sarees,10,same as saree,woven design,no border,multicolor,party,jacquard,woven design,zari woven,,no
10630,Sarees,10,,zari,small border,cream,party,,,zari woven,ethnic motif,no
10631,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
10632,Sarees,10,,,,default,,jacquard,,,,
10633,Sarees,10,same as saree,zari,big border,multicolor,party,,,zari woven,default,no
10634,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
10635,Sarees,10,same as saree,solid,small border,white,daily,,,zari woven,,no
10636,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,yes
10637,Sarees,10,,zari,small border,white,traditional,,,zari woven,floral,no
10638,Sarees,10,,temple border,big border,default,traditional,,,zari woven,floral,no
10639,Sarees,10,same as saree,woven design,no border,multicolor,party,jacquard,woven design,zari woven,,no
10640,Sarees,10,,zari,small border,white,party,,,zari woven,peacock,no
10641,Sarees,10,same as border,zari,big border,default,party,,zari woven,solid,solid,no
10642,Sarees,10,same as saree,zari,big border,default,daily,,same as saree,zari woven,default,no
10643,Sarees,10,,zari,small border,cream,traditional,,,zari woven,peacock,no
10644,Sarees,10,same as saree,solid,small border,multicolor,daily,,,zari woven,default,no
10645,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
10646,Sarees,10,,temple border,small border,white,party,,,zari woven,peacock,no
10647,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
10648,Sarees,10,,zari,small border,cream,party,,,zari woven,elephant,yes
10649,Sarees,10,same as border,woven design,big border,multicolor,traditional,,,zari woven,ethnic motif,no
10650,Sarees,10,same as saree,zari,small border,cream,party,,same as saree,zari woven,peacock,no
10651,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
10652,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
10653,Sarees,10,,default,small border,default,traditional,,zari woven,zari woven,default,no
10654,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,no
10655,Sarees,10,,zari,big border,white,party,,,zari woven,peacock,no
10656,Sarees,10,same as border,temple border,big border,yellow,party,,zari woven,solid,solid,yes
10657,Sarees,10,same as border,temple border,big border,yellow,party,,zari woven,solid,solid,no
10658,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
10659,Sarees,10,,zari,big border,default,daily,,,zari woven,default,no
10660,Sarees,10,,woven design,big border,default,traditional,,,zari woven,default,no
10661,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
10662,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,yes
10663,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
10664,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
10665,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
10666,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
10667,Sarees,10,,zari,small border,cream,party,,,zari woven,botanical,no
10668,Sarees,10,,default,,multicolor,,,,,,no
10669,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
10670,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
10671,Sarees,10,,zari,small border,cream,traditional,,,zari woven,peacock,no
